hv001,hv002,wt,hv208,hv206,hv243a,sh121m,sh121o,hv209,hv247,sh122h,roof,id,v005,v190,v149,deceas,de_cat,health
1,1040,3.009105,0,0,1,0,0,0,0,0,2,2,990064,3,1,0,0%,NA
1,1052,3.009105,0,1,1,0,0,0,0,0,2,2,990064,2,1,0,0%,NA
1,1082,2.00607,0,0,1,0,0,0,0,0,2,2,990064,2,0,0.14285714285714285,1-33%,NA
1,1103,9.027315,0,0,1,0,0,0,0,0,2,2,990064,2,0,0,0%,NA
1,1103,9.027315,0,0,1,0,0,0,0,0,2,2,990064,2,0,0,0%,1
1,1113,7.021245,0,0,0,0,0,0,0,0,0,5,990064,2,1,0,0%,1
1,1128,6.01821,0,1,1,0,0,0,1,0,2,2,990064,3,0,0,0%,NA
1,1204,7.021245,0,0,1,0,0,0,0,0,2,2,990064,2,2,0,0%,NA
1,125,7.021245,1,0,1,0,0,0,0,0,2,3,990064,2,3,0.25,1-33%,NA
1,125,7.021245,1,0,1,0,0,0,0,0,2,3,990064,2,0,0,0%,NA
1,147,6.01821,1,1,1,0,0,0,1,0,1,3,990064,4,3,0,0%,NA
1,147,6.01821,1,1,1,0,0,0,1,0,1,3,990064,4,2,0,0%,NA
1,191,3.009105,0,1,1,0,0,0,0,0,2,2,990064,3,0,0,0%,NA
1,191,3.009105,0,1,1,0,0,0,0,0,2,2,990064,3,1,0,0%,NA
1,198,6.01821,1,1,1,0,0,0,0,0,2,3,990064,3,2,0,0%,NA
1,252,9.027315,1,1,1,0,0,1,0,0,2,3,990064,3,0,0,0%,NA
1,310,7.021245,0,0,1,0,0,0,0,0,2,2,990064,2,2,0,0%,NA
1,334,6.01821,0,0,1,0,0,0,0,0,2,2,990064,2,1,0.1111111111111111,1-33%,NA
1,341,7.021245,0,1,1,0,0,0,0,0,2,2,990064,2,0,0.25,1-33%,NA
1,341,7.021245,0,1,1,0,0,0,0,0,2,2,990064,2,1,0,0%,NA
1,345,1.003035,0,1,1,0,0,0,0,0,2,2,990064,3,0,0,0%,NA
1,436,4.01214,0,0,1,0,0,0,0,0,2,2,990064,3,0,0,0%,NA
1,562,7.021245,0,1,1,0,0,0,0,0,2,2,990064,3,1,0.25,1-33%,NA
1,562,7.021245,0,1,1,0,0,0,0,0,2,2,990064,3,1,0,0%,NA
1,803,2.00607,1,1,1,0,0,0,0,0,2,3,990064,3,2,0,0%,1
1,819,5.015175,0,0,1,0,0,0,0,0,2,2,990064,3,1,0,0%,NA
1,897,8.02428,1,1,0,0,0,0,0,0,2,3,990064,3,0,0.15384615384615385,1-33%,NA
1,955,2.00607,1,1,1,0,0,1,0,0,2,3,990064,4,1,0,0%,NA
10,1005,2.207492,0,0,1,0,0,0,0,0,0,2,316112,1,0,0.14285714285714285,1-33%,NA
10,1005,2.207492,0,0,1,0,0,0,0,0,0,2,316112,1,1,0,0%,NA
10,1059,3.15356,1,1,0,0,1,0,0,0,2,4,316112,3,3,0,0%,0
10,1059,3.15356,1,1,0,0,1,0,0,0,2,4,316112,3,3,0,0%,NA
10,1059,3.15356,1,1,0,0,1,0,0,0,2,4,316112,3,3,0,0%,NA
10,1133,1.892136,0,0,1,0,0,0,0,0,0,2,316112,1,1,0,0%,NA
10,1198,1.261424,0,0,1,0,0,0,0,0,2,2,316112,2,1,0,0%,NA
10,166,2.838204,0,1,1,0,0,0,0,0,2,2,316112,3,1,0,0%,NA
10,166,2.838204,0,1,1,0,0,0,0,0,2,2,316112,3,1,0,0%,0
10,249,2.207492,0,0,1,0,0,0,0,0,0,2,316112,1,2,0,0%,NA
10,271,2.522848,0,0,1,0,0,0,0,0,0,2,316112,2,0,0.2727272727272727,1-33%,NA
10,271,2.522848,0,0,1,0,0,0,0,0,0,2,316112,2,0,1,67+%,NA
10,355,0.630712,0,0,0,0,0,0,0,0,0,5,316112,1,1,0,0%,NA
10,446,1.57678,0,1,1,0,0,0,0,0,0,2,316112,1,1,0,0%,NA
10,45,2.522848,0,0,0,0,0,0,0,0,0,5,316112,1,0,0,0%,NA
10,45,2.522848,0,0,0,0,0,0,0,0,0,5,316112,1,0,0,0%,NA
10,555,1.57678,0,0,1,0,0,0,0,0,2,2,316112,2,3,0,0%,1
10,57,1.892136,0,0,1,0,0,0,0,0,0,2,316112,1,0,0.3333333333333333,1-33%,0
10,574,1.261424,0,0,1,0,0,0,0,0,0,2,316112,2,1,0.3333333333333333,1-33%,NA
10,687,0.630712,0,0,0,0,0,0,0,0,2,5,316112,2,1,0.5,34-66%,0
10,688,1.57678,0,0,1,0,0,0,0,0,0,2,316112,1,0,0.7,67+%,NA
10,715,1.892136,0,0,0,0,0,0,0,0,0,5,316112,1,0,0,0%,0
10,719,0.946068,0,0,1,0,0,0,0,0,2,2,316112,2,3,0,0%,NA
10,755,1.57678,0,0,1,0,0,0,0,0,2,2,316112,2,3,0,0%,NA
10,778,1.57678,0,0,1,0,0,0,0,0,0,2,316112,1,0,0,0%,NA
10,778,1.57678,0,0,1,0,0,0,0,0,0,2,316112,1,0,0,0%,NA
10,78,0.630712,0,0,0,0,0,0,0,0,0,5,316112,1,0,0.5,34-66%,NA
10,92,2.207492,0,0,1,0,0,0,0,0,0,2,316112,1,0,0,0%,NA
10,92,2.207492,0,0,1,0,0,0,0,0,0,2,316112,1,1,0,0%,NA
10,959,2.522848,0,0,1,0,0,0,0,0,0,2,316112,1,3,0,0%,NA
10,959,2.522848,0,0,1,0,0,0,0,0,0,2,316112,1,3,0,0%,NA
