hv001,hv002,wt,hv206,hv209,hv243e,sh121g,sh121h,sh121i,sh121j,roof,id,v005,v190,v149,deceas,de_cat,health
1,13,2.5386320000000002,1,0,0,0,0,1,0,2,5,1396726,2,2,0,0%,NA
1,28,6.34658,1,1,1,1,1,1,1,2,4,1396726,5,4,0,0%,NA
1,36,2.5386320000000002,1,1,1,0,1,1,0,2,2,1396726,4,4,0,0%,NA
1,93,2.5386320000000002,1,1,0,1,1,1,1,2,4,1396726,5,4,0,0%,0
100,14,6.603768,1,1,0,0,0,1,0,2,2,1131129,3,3,0,0%,0
100,14,6.603768,1,1,0,0,0,1,0,2,2,1131129,3,3,0,0%,0
100,20,12.106908,1,1,0,0,0,1,0,2,2,1131129,3,4,0,0%,0
100,20,12.106908,1,1,0,0,0,1,0,2,2,1131129,3,3,0,0%,0
100,25,1.100628,1,0,0,0,0,1,0,2,5,1131129,2,3,0,0%,0
100,28,2.201256,1,1,0,0,1,1,1,2,3,1131129,3,3,0,0%,0
100,35,3.301884,1,1,0,0,1,1,0,2,2,1131129,4,4,0,0%,NA
100,46,4.402512,1,1,1,0,1,1,0,2,2,1131129,4,5,0,0%,NA
100,46,4.402512,1,1,1,0,1,1,0,2,2,1131129,4,3,0,0%,NA
100,47,5.50314,1,1,0,0,1,1,0,2,2,1131129,4,1,0.3333333333333333,1-33%,NA
100,47,5.50314,1,1,0,0,1,1,0,2,2,1131129,4,4,0,0%,0
100,5,4.402512,1,1,0,0,1,1,1,2,3,1131129,3,5,0,0%,NA
100,5,4.402512,1,1,0,0,1,1,1,2,3,1131129,3,3,0,0%,0
100,58,3.301884,1,1,0,0,1,1,0,2,2,1131129,3,3,0,0%,NA
100,63,5.50314,1,0,0,0,0,1,0,2,5,1131129,3,2,0,0%,0
100,69,2.201256,1,1,0,0,0,1,0,2,2,1131129,2,3,0,0%,NA
100,9,2.201256,1,1,1,1,1,1,1,2,4,1131129,5,3,0.5,34-66%,0
100,94,3.301884,1,0,0,0,0,1,1,2,3,1131129,3,4,0.3333333333333333,1-33%,NA
101,20,3.958224,1,1,1,0,1,1,1,2,3,1644026,5,4,0,0%,0
101,21,6.59704,1,1,0,0,0,1,0,2,2,1644026,3,3,0,0%,NA
101,30,5.277632,1,1,0,0,1,1,0,2,2,1644026,4,3,0,0%,0
101,30,5.277632,1,1,0,0,1,1,0,2,2,1644026,4,5,0,0%,NA
101,38,10.555264,1,1,0,0,1,1,1,2,3,1644026,5,5,0,0%,0
101,38,10.555264,1,1,0,0,1,1,1,2,3,1644026,5,3,0,0%,NA
101,54,7.916448,1,1,0,0,1,1,1,2,3,1644026,4,5,0,0%,0
101,54,7.916448,1,1,0,0,1,1,1,2,3,1644026,4,5,0,0%,NA
101,64,3.958224,1,1,1,0,1,0,1,2,3,1644026,3,3,0,0%,0
101,73,5.277632,1,1,0,0,1,0,0,2,2,1644026,4,4,0,0%,0
101,73,5.277632,1,1,0,0,1,0,0,2,2,1644026,4,4,0,0%,NA
101,8,13.19408,1,1,0,0,1,1,1,2,3,1644026,5,3,0,0%,NA
101,8,13.19408,1,1,0,0,1,1,1,2,3,1644026,5,5,0,0%,0
101,81,3.958224,1,1,0,0,1,1,1,2,3,1644026,5,5,0,0%,NA
101,91,5.277632,1,1,1,1,1,1,1,2,4,1644026,5,4,0,0%,NA
101,96,5.277632,1,1,1,0,1,1,1,2,3,1644026,4,5,0,0%,1
101,99,7.916448,1,1,0,1,1,1,1,2,4,1644026,4,3,0,0%,0
102,100,0.809926,1,0,0,0,0,1,0,2,5,366619,2,1,0.2857142857142857,1-33%,0
102,28,3.239704,1,1,0,0,1,1,0,2,2,366619,3,3,0,0%,0
102,67,3.644667,1,1,0,0,1,1,0,2,2,366619,3,3,0,0%,NA
102,7,1.214889,1,1,0,0,1,1,1,2,3,366619,3,4,0,0%,NA
102,70,0.404963,1,1,0,0,0,1,0,2,2,366619,3,4,0,0%,NA
103,12,1.269482,1,1,0,0,1,1,1,2,3,574640,3,3,0.3333333333333333,1-33%,0
103,21,3.173705,1,1,0,0,1,1,1,2,3,574640,3,4,0,0%,NA
103,21,3.173705,1,1,0,0,1,1,1,2,3,574640,3,3,0,0%,NA
103,32,2.538964,1,1,0,0,1,1,0,2,2,574640,3,3,0,0%,0
103,32,2.538964,1,1,0,0,1,1,0,2,2,574640,3,3,0,0%,NA
103,35,2.538964,1,1,0,0,0,1,0,2,2,574640,2,3,0,0%,0
103,38,5.712669,1,1,0,0,1,1,1,2,3,574640,2,4,0,0%,0
103,38,5.712669,1,1,0,0,1,1,1,2,3,574640,2,3,0,0%,0
103,38,5.712669,1,1,0,0,1,1,1,2,3,574640,2,4,0,0%,0
103,4,0.634741,1,1,0,0,1,1,0,2,2,574640,3,5,0,0%,NA
103,49,3.808446,1,1,0,0,1,1,1,2,3,574640,3,4,0,0%,0
103,58,1.269482,1,1,0,0,1,1,1,2,3,574640,2,3,0.5,34-66%,NA
103,73,2.538964,0,0,0,0,0,0,0,2,1,574640,1,2,0,0%,NA
103,8,1.269482,1,1,0,0,1,1,0,2,2,574640,2,4,0,0%,NA
104,46,2.575131,1,1,0,0,0,1,0,1,2,797121,3,1,0,0%,0
104,6,2.575131,1,1,0,0,1,1,0,2,2,797121,3,3,0,0%,0
105,39,3.251885,1,1,0,0,1,1,0,2,2,588796,3,4,0,0%,1
105,53,3.251885,1,1,0,0,0,0,0,2,2,588796,1,1,0,0%,0
105,75,5.853393,1,0,0,0,1,0,0,2,5,588796,1,3,0,0%,NA
105,75,5.853393,1,0,0,0,1,0,0,2,5,588796,1,3,0,0%,0
106,3,1.452117,1,1,0,0,1,1,1,2,3,481614,4,3,0.3333333333333333,1-33%,0
106,31,1.936156,1,1,0,0,1,1,0,2,2,481614,4,3,0,0%,1
106,37,1.452117,1,1,0,0,1,1,1,2,3,481614,3,3,0,0%,0
106,46,3.388273,1,1,0,0,1,1,0,2,2,481614,4,5,1,67+%,0
106,66,3.388273,1,1,0,0,1,1,1,2,3,481614,3,3,0.2857142857142857,1-33%,0
106,66,3.388273,1,1,0,0,1,1,1,2,3,481614,3,3,0,0%,0
106,66,3.388273,1,1,0,0,1,1,1,2,3,481614,3,2,0,0%,0
106,68,2.420195,1,1,0,0,1,1,1,2,3,481614,4,3,0,0%,0
106,68,2.420195,1,1,0,0,1,1,1,2,3,481614,4,4,0,0%,NA
106,88,1.452117,1,1,1,0,1,1,0,2,2,481614,3,4,0,0%,1
107,16,7.459648,1,1,0,0,1,1,1,2,3,844167,2,4,0,0%,1
107,21,9.32456,1,0,0,0,0,0,0,2,5,844167,1,1,0.16666666666666666,1-33%,NA
107,21,9.32456,1,0,0,0,0,0,0,2,5,844167,1,3,0,0%,NA
107,21,9.32456,1,0,0,0,0,0,0,2,5,844167,1,1,0,0%,NA
107,32,3.729824,0,0,0,0,0,0,0,2,1,844167,1,3,0,0%,NA
107,33,4.66228,1,1,0,0,0,1,0,1,2,844167,1,3,0,0%,0
107,35,0.932456,1,0,0,0,0,1,0,2,5,844167,2,4,0,0%,NA
107,37,2.797368,1,1,0,0,1,1,0,2,2,844167,3,3,0,0%,0
107,4,6.527192,0,0,0,0,0,0,0,2,1,844167,1,3,0,0%,0
107,4,6.527192,0,0,0,0,0,0,0,2,1,844167,1,1,0,0%,NA
107,43,6.527192,0,0,0,0,0,0,0,2,1,844167,1,0,0,0%,0
107,43,6.527192,0,0,0,0,0,0,0,2,1,844167,1,3,0,0%,0
107,50,7.459648,1,0,0,0,0,0,0,2,5,844167,1,3,0.5555555555555556,34-66%,NA
107,50,7.459648,1,0,0,0,0,0,0,2,5,844167,1,2,0,0%,NA
107,51,6.527192,1,1,0,0,0,0,0,2,2,844167,1,4,0,0%,1
107,53,9.32456,1,1,0,0,0,1,0,2,2,844167,1,3,0,0%,0
107,53,9.32456,1,1,0,0,0,1,0,2,2,844167,1,1,0,0%,0
107,73,8.392104,1,0,0,0,0,0,0,2,5,844167,1,1,0.2,1-33%,NA
107,73,8.392104,1,0,0,0,0,0,0,2,5,844167,1,3,0,0%,NA
107,98,6.527192,1,1,1,0,1,1,1,2,3,844167,3,3,0,0%,1
107,98,6.527192,1,1,1,0,1,1,1,2,3,844167,3,3,0.6666666666666666,34-66%,NA
108,14,5.169246,1,1,0,0,0,1,1,2,3,778001,2,3,0,0%,0
108,2,2.584623,1,1,0,0,1,1,0,2,2,778001,2,3,0,0%,NA
108,31,0.861541,1,1,0,0,0,1,0,2,2,778001,2,3,0,0%,0
108,33,6.892328,1,1,0,0,0,1,0,2,2,778001,2,3,0.3333333333333333,1-33%,0
108,44,4.307705,0,0,0,0,0,0,0,2,1,778001,1,1,0.6666666666666666,34-66%,NA
108,44,4.307705,0,0,0,0,0,0,0,2,1,778001,1,3,0,0%,0
108,50,6.030787,1,1,0,0,0,1,1,2,3,778001,2,3,0,0%,NA
108,50,6.030787,1,1,0,0,0,1,1,2,3,778001,2,3,0,0%,NA
108,50,6.030787,1,1,0,0,0,1,1,2,3,778001,2,3,0,0%,NA
108,56,4.307705,1,1,0,0,0,1,0,2,2,778001,2,3,0,0%,NA
108,56,4.307705,1,1,0,0,0,1,0,2,2,778001,2,3,0,0%,NA
108,69,7.753869,1,1,0,0,0,1,0,2,2,778001,1,3,0,0%,0
108,69,7.753869,1,1,0,0,0,1,0,2,2,778001,1,3,0,0%,NA
108,69,7.753869,1,1,0,0,0,1,0,2,2,778001,1,3,0,0%,0
108,80,2.584623,1,1,0,0,0,1,0,2,2,778001,3,3,0,0%,NA
108,80,2.584623,1,1,0,0,0,1,0,2,2,778001,3,3,0,0%,NA
108,87,5.169246,1,1,0,0,0,0,0,2,2,778001,1,3,0,0%,0
108,99,5.169246,1,1,0,0,0,1,0,2,2,778001,2,3,0,0%,0
108,99,5.169246,1,1,0,0,0,1,0,2,2,778001,2,3,0,0%,NA
109,16,1.194096,1,0,0,0,0,1,0,2,5,538842,2,3,0,0%,0
109,36,0.597048,1,1,0,0,0,1,0,2,2,538842,2,3,0,0%,0
109,53,0.597048,1,0,0,0,0,1,0,2,5,538842,2,4,0,0%,0
109,86,1.791144,1,0,0,0,0,0,0,2,5,538842,1,1,0,0%,0
109,92,0.597048,1,0,0,0,0,1,0,2,5,538842,2,0,0.2,1-33%,NA
11,35,1.640004,1,1,0,0,0,1,0,2,2,515360,1,3,0,0%,NA
11,38,1.640004,1,1,0,0,1,1,0,2,2,515360,3,4,0,0%,0
11,44,3.826676,1,1,0,0,1,1,1,2,3,515360,2,4,0,0%,NA
11,49,2.73334,1,1,0,0,0,1,0,2,2,515360,1,1,0,0%,0
11,6,3.280008,1,1,0,0,0,1,0,2,2,515360,2,5,0,0%,0
11,66,3.826676,1,1,0,0,1,1,1,2,3,515360,3,4,0,0%,1
11,78,2.73334,1,1,0,0,1,1,0,2,2,515360,2,3,0,0%,NA
11,78,2.73334,1,1,0,0,1,1,0,2,2,515360,2,5,0,0%,0
11,88,1.640004,1,1,0,0,1,1,0,2,2,515360,2,2,0,0%,NA
11,98,5.46668,1,1,0,0,0,1,0,2,2,515360,3,0,0,0%,0
11,98,5.46668,1,1,0,0,0,1,0,2,2,515360,3,3,0,0%,NA
11,98,5.46668,1,1,0,0,0,1,0,2,2,515360,3,3,0,0%,NA
11,98,5.46668,1,1,0,0,0,1,0,2,2,515360,3,1,0,0%,NA
110,19,3.947112,1,1,0,0,1,1,1,2,3,924595,4,3,0.3333333333333333,1-33%,NA
110,31,5.920668,1,1,0,0,0,1,0,2,2,924595,2,3,0,0%,0
110,31,5.920668,1,1,0,0,0,1,0,2,2,924595,2,3,0,0%,NA
110,31,5.920668,1,1,0,0,0,1,0,2,2,924595,2,3,0,0%,NA
110,33,4.93389,1,1,1,0,1,1,0,2,2,924595,3,2,0,0%,NA
110,47,5.920668,1,1,0,0,0,1,0,2,2,924595,3,3,0,0%,0
110,55,1.973556,1,1,0,0,1,1,0,2,2,924595,3,4,0,0%,NA
110,64,7.894224,1,1,0,0,0,1,0,2,2,924595,2,3,0,0%,NA
110,65,4.93389,1,1,0,0,1,1,0,2,2,924595,4,4,0,0%,0
110,74,1.973556,1,1,0,0,1,1,0,2,2,924595,2,3,0,0%,1
110,8,9.86778,1,1,0,0,0,0,0,0,2,924595,1,3,0,0%,0
110,8,9.86778,1,1,0,0,0,0,0,0,2,924595,1,3,0,0%,0
110,99,1.973556,0,0,0,0,1,1,0,2,1,924595,1,0,0,0%,0
111,30,2.907522,0,0,0,0,0,0,0,0,1,900011,1,3,0,0%,NA
111,37,1.938348,0,0,0,0,0,0,0,2,1,900011,1,4,0.3333333333333333,1-33%,NA
111,40,2.907522,0,0,0,0,0,0,0,0,1,900011,1,1,0.2,1-33%,NA
111,42,7.753392,0,0,0,0,0,0,0,2,1,900011,1,3,0,0%,0
111,42,7.753392,0,0,0,0,0,0,0,2,1,900011,1,2,0,0%,NA
111,42,7.753392,0,0,0,0,0,0,0,2,1,900011,1,3,0,0%,0
111,53,4.84587,0,0,0,0,0,0,0,0,1,900011,1,3,0,0%,0
111,79,4.84587,0,0,0,0,0,0,0,2,1,900011,1,2,0,0%,NA
111,82,3.876696,0,0,0,0,0,1,0,0,1,900011,1,3,0.3333333333333333,1-33%,0
111,94,6.784218,0,0,0,0,0,0,0,2,1,900011,1,3,0,0%,0
111,94,6.784218,0,0,0,0,0,0,0,2,1,900011,1,3,0,0%,0
112,1,4.537132,1,1,1,0,1,1,1,2,3,1091783,5,5,0,0%,0
112,10,5.671415,1,1,1,0,1,1,1,2,3,1091783,5,5,0,0%,1
112,10,5.671415,1,1,1,0,1,1,1,2,3,1091783,5,3,0,0%,NA
112,43,3.402849,1,1,1,0,1,1,1,2,3,1091783,5,5,0,0%,NA
112,49,3.402849,1,1,1,1,1,1,0,2,2,1091783,5,5,0,0%,NA
112,72,2.268566,1,1,1,1,1,1,1,2,4,1091783,5,5,0,0%,1
112,97,3.402849,1,1,0,0,1,1,0,2,2,1091783,5,5,0,0%,NA
112,97,3.402849,1,1,0,0,1,1,0,2,2,1091783,5,4,0,0%,NA
112,97,3.402849,1,1,0,0,1,1,0,2,2,1091783,5,3,0,0%,NA
113,2,4.014108,1,1,0,0,0,1,1,2,3,570571,3,0,0.125,1-33%,0
113,2,4.014108,1,1,0,0,0,1,1,2,3,570571,3,0,0,0%,0
113,38,1.720332,1,0,0,0,0,1,0,2,5,570571,3,4,0,0%,0
113,38,1.720332,1,0,0,0,0,1,0,2,5,570571,3,3,0.5,34-66%,0
113,52,1.720332,1,1,0,0,0,1,0,2,2,570571,2,3,0,0%,0
113,58,1.720332,1,1,0,0,1,1,1,2,3,570571,4,1,0,0%,NA
113,58,1.720332,1,1,0,0,1,1,1,2,3,570571,4,3,0,0%,0
113,58,1.720332,1,1,0,0,1,1,1,2,3,570571,4,3,0,0%,NA
113,6,2.86722,1,1,0,0,0,1,0,2,2,570571,3,0,0,0%,NA
113,6,2.86722,1,1,0,0,0,1,0,2,2,570571,3,3,0,0%,NA
113,7,2.293776,1,1,0,0,1,1,1,2,3,570571,3,3,0.3333333333333333,1-33%,0
113,76,2.293776,1,1,0,0,0,1,0,2,2,570571,2,1,0,0%,NA
113,9,1.146888,1,1,1,0,1,1,1,2,3,570571,4,2,0,0%,0
113,93,3.440664,1,1,0,0,1,1,0,2,2,570571,3,2,0,0%,NA
113,94,3.440664,1,0,0,0,0,1,0,2,5,570571,2,1,0,0%,NA
113,94,3.440664,1,0,0,0,0,1,0,2,5,570571,2,3,0.5,34-66%,0
113,94,3.440664,1,0,0,0,0,1,0,2,5,570571,2,3,0,0%,0
114,17,23.081364,1,1,0,1,1,1,0,2,2,4233035,3,4,0,0%,NA
114,39,3.846894,1,0,0,0,0,0,0,2,5,4233035,1,4,0,0%,1
114,42,30.775152,1,1,0,0,1,1,1,2,3,4233035,5,4,0,0%,0
114,52,34.622046,1,1,0,0,1,1,1,2,3,4233035,4,4,0,0%,0
114,56,19.23447,1,1,1,0,0,1,0,2,2,4233035,4,4,0,0%,0
114,68,3.846894,1,1,0,0,0,1,0,2,2,4233035,2,2,0,0%,NA
114,93,11.540682,1,1,1,0,1,1,1,2,3,4233035,5,4,0,0%,NA
115,32,0.475986,1,1,1,0,0,1,0,2,2,223662,3,3,0,0%,0
115,47,0.713979,0,1,1,0,0,1,0,2,2,223662,1,3,0,0%,0
115,55,0.475986,1,1,0,0,0,1,0,2,2,223662,2,3,0,0%,0
115,56,0.475986,1,1,0,0,0,1,0,2,2,223662,2,3,0,0%,NA
115,97,0.237993,1,1,0,0,0,1,0,2,2,223662,1,3,0,0%,0
116,18,3.55022,1,1,0,0,1,1,1,2,3,824217,2,3,0.5,34-66%,NA
116,21,6.212885,1,1,1,0,1,1,1,2,3,824217,2,5,0,0%,0
116,21,6.212885,1,1,1,0,1,1,1,2,3,824217,2,3,0,0%,NA
116,33,1.77511,1,1,1,0,0,1,0,2,2,824217,3,5,0,0%,0
116,54,7.10044,1,1,0,0,0,0,0,2,2,824217,1,1,0,0%,NA
116,57,4.437775,1,0,0,0,0,1,0,2,5,824217,2,2,0,0%,0
116,57,4.437775,1,0,0,0,0,1,0,2,5,824217,2,3,0,0%,NA
116,6,3.55022,1,1,1,0,1,1,0,2,2,824217,2,4,0,0%,0
116,6,3.55022,1,1,1,0,1,1,0,2,2,824217,2,3,0,0%,NA
116,64,7.987995,1,1,0,0,0,1,0,2,2,824217,1,3,0,0%,NA
116,65,5.32533,1,0,0,0,0,1,0,2,5,824217,1,3,0,0%,NA
116,78,1.77511,1,0,0,0,0,1,0,2,5,824217,1,3,0.5,34-66%,1
116,9,7.10044,1,0,0,0,1,1,1,1,3,824217,2,1,0,0%,NA
116,9,7.10044,1,0,0,0,1,1,1,1,3,824217,2,3,0,0%,NA
116,9,7.10044,1,0,0,0,1,1,1,1,3,824217,2,3,0,0%,NA
117,95,7.699839,1,1,0,0,1,1,0,2,2,2470447,2,3,0,0%,NA
117,95,7.699839,1,1,0,0,1,1,0,2,2,2470447,2,4,0,0%,0
118,1,1.861844,1,1,1,0,1,1,0,2,2,1792085,5,4,0,0%,0
118,11,5.585532,1,1,0,0,0,1,0,2,2,1792085,3,3,0,0%,0
118,12,3.723688,1,0,0,0,1,1,0,2,5,1792085,3,4,0,0%,1
118,19,7.447376,1,1,0,0,0,1,0,2,2,1792085,2,3,0,0%,0
118,21,1.861844,1,0,0,0,0,1,0,2,5,1792085,2,4,0,0%,0
118,26,9.30922,1,1,0,0,1,1,0,2,2,1792085,4,3,0,0%,NA
118,42,5.585532,1,1,0,0,1,1,0,2,2,1792085,4,3,0,0%,0
118,60,3.723688,1,1,0,0,1,0,0,2,2,1792085,4,3,0,0%,0
118,62,5.585532,1,1,1,1,1,1,0,2,2,1792085,5,3,0,0%,NA
118,62,5.585532,1,1,1,1,1,1,0,2,2,1792085,5,3,0,0%,NA
118,64,5.585532,1,1,0,0,1,1,0,2,2,1792085,4,3,0,0%,NA
118,74,11.171064,1,1,1,0,1,1,1,2,3,1792085,5,5,0,0%,NA
118,74,11.171064,1,1,1,0,1,1,1,2,3,1792085,5,3,0,0%,NA
118,84,1.861844,1,1,0,0,0,1,0,2,2,1792085,3,4,0,0%,1
118,96,7.447376,1,1,0,0,1,1,0,2,2,1792085,3,4,0,0%,1
119,33,3.209608,1,1,0,0,1,1,1,2,3,999820,4,3,0,0%,NA
119,35,5.616814,1,1,1,0,1,1,1,2,3,999820,5,5,0,0%,NA
119,35,5.616814,1,1,1,0,1,1,1,2,3,999820,5,4,0,0%,NA
119,42,6.419216,1,1,0,1,1,1,1,2,4,999820,4,3,0,0%,0
119,42,6.419216,1,1,0,1,1,1,1,2,4,999820,4,3,0,0%,NA
119,42,6.419216,1,1,0,1,1,1,1,2,4,999820,4,2,0,0%,NA
119,5,3.209608,1,1,0,0,1,1,1,2,3,999820,4,3,0,0%,0
119,5,3.209608,1,1,0,0,1,1,1,2,3,999820,4,3,0,0%,NA
119,51,1.604804,1,1,1,1,1,1,1,2,4,999820,5,3,0,0%,NA
119,67,5.616814,1,1,0,0,1,1,1,2,3,999820,4,3,0,0%,NA
119,82,4.01201,1,1,1,0,1,1,1,2,3,999820,5,3,0,0%,NA
119,82,4.01201,1,1,1,0,1,1,1,2,3,999820,5,4,0,0%,0
119,94,3.209608,1,1,0,0,1,1,1,2,3,999820,4,4,0,0%,0
12,22,28.654432,0,0,0,0,0,0,0,2,1,3941336,1,3,0,0%,NA
12,22,28.654432,0,0,0,0,0,0,0,2,1,3941336,1,2,0,0%,NA
12,29,14.327216,0,0,0,0,0,0,0,2,1,3941336,1,4,0,0%,0
12,49,7.163608,0,0,0,0,0,0,0,2,1,3941336,1,0,1,67+%,NA
12,58,14.327216,0,0,0,0,0,1,0,2,1,3941336,1,3,0,0%,NA
12,67,17.90902,0,0,0,0,0,0,0,2,1,3941336,1,3,0,0%,1
12,69,7.163608,0,0,0,0,0,0,0,2,1,3941336,1,2,0,0%,NA
12,70,14.327216,0,0,0,0,0,0,0,2,1,3941336,1,4,0,0%,NA
12,70,14.327216,0,0,0,0,0,0,0,2,1,3941336,1,3,0,0%,NA
12,74,3.581804,0,0,0,0,0,0,0,2,1,3941336,1,3,0,0%,NA
12,80,17.90902,0,0,0,0,0,1,0,2,1,3941336,1,3,0,0%,NA
12,80,17.90902,0,0,0,0,0,1,0,2,1,3941336,1,2,0,0%,NA
120,15,5.437104,1,1,0,0,0,1,0,2,2,872231,4,5,0,0%,1
120,18,2.718552,1,1,0,0,1,1,1,2,3,872231,4,4,0,0%,1
120,38,1.812368,1,1,1,0,1,1,1,2,3,872231,5,5,0,0%,NA
120,53,14.498944,1,1,0,0,1,0,1,2,3,872231,3,4,0,0%,0
120,53,14.498944,1,1,0,0,1,0,1,2,3,872231,3,4,0.3333333333333333,1-33%,1
120,53,14.498944,1,1,0,0,1,0,1,2,3,872231,3,0,0,0%,NA
120,53,14.498944,1,1,0,0,1,0,1,2,3,872231,3,3,0,0%,0
120,55,6.343288,1,1,0,0,1,1,0,2,2,872231,4,5,0.5,34-66%,NA
120,55,6.343288,1,1,0,0,1,1,0,2,2,872231,4,4,0,0%,0
120,55,6.343288,1,1,0,0,1,1,0,2,2,872231,4,3,0,0%,NA
120,59,5.437104,1,1,1,0,1,1,0,2,2,872231,4,4,0,0%,0
120,59,5.437104,1,1,1,0,1,1,0,2,2,872231,4,3,0,0%,NA
120,59,5.437104,1,1,1,0,1,1,0,2,2,872231,4,3,0,0%,NA
