country,year,description,asset_category,cluster,asw,percent_rural,percent_rural_year,gini,gini_year,gdp,gdp_year,gdp_per_capita,gdp_per_capita_year
Angola,2015,has television,2,1,0.9451,37,2015,51.3,2018,90.5,2015,3217.3,2015
Angola,2015,has refrigerator,3,1,0.9451,37,2015,51.3,2018,90.5,2015,3217.3,2015
Angola,2015,has computer,2,1,0.9451,37,2015,51.3,2018,90.5,2015,3217.3,2015
Angola,2015,roof,1,1,0.9451,37,2015,51.3,2018,90.5,2015,3217.3,2015
Angola,2015,has television,2,2,0.9423,37,2015,51.3,2018,90.5,2015,3217.3,2015
Angola,2015,has refrigerator,3,2,0.9423,37,2015,51.3,2018,90.5,2015,3217.3,2015
Angola,2015,has car/truck,5,2,0.9423,37,2015,51.3,2018,90.5,2015,3217.3,2015
Angola,2015,roof,1,2,0.9423,37,2015,51.3,2018,90.5,2015,3217.3,2015
Angola,2015,has television,2,3,0.9372,37,2015,51.3,2018,90.5,2015,3217.3,2015
Angola,2015,has refrigerator,3,3,0.9372,37,2015,51.3,2018,90.5,2015,3217.3,2015
Angola,2015,has internet,2,3,0.9372,37,2015,51.3,2018,90.5,2015,3217.3,2015
Angola,2015,roof,1,3,0.9372,37,2015,51.3,2018,90.5,2015,3217.3,2015
Burkina Faso,2021,has television,2,1,0.8959,69,2021,43,2018,19.64,2021,888.8,2021
Burkina Faso,2021,has wardrobe/bookcase,3,1,0.8959,69,2021,43,2018,19.64,2021,888.8,2021
Burkina Faso,2021,floor,1,1,0.8959,69,2021,43,2018,19.64,2021,888.8,2021
Burkina Faso,2021,roof,1,1,0.8959,69,2021,43,2018,19.64,2021,888.8,2021
Burkina Faso,2021,has electricity,1,2,0.8916,69,2021,43,2018,19.64,2021,888.8,2021
Burkina Faso,2021,has wardrobe/bookcase,3,2,0.8916,69,2021,43,2018,19.64,2021,888.8,2021
Burkina Faso,2021,floor,1,2,0.8916,69,2021,43,2018,19.64,2021,888.8,2021
Burkina Faso,2021,roof,1,2,0.8916,69,2021,43,2018,19.64,2021,888.8,2021
Burkina Faso,2021,has bank account,5,3,0.881,69,2021,43,2018,19.64,2021,888.8,2021
Burkina Faso,2021,has wardrobe/bookcase,3,3,0.881,69,2021,43,2018,19.64,2021,888.8,2021
Burkina Faso,2021,floor,1,3,0.881,69,2021,43,2018,19.64,2021,888.8,2021
